,Time,Windkracht
290,2024-05-16,2
291,2024-05-17,2
292,2024-05-18,2
293,2024-05-19,2
294,2024-05-20,2
295,2024-05-21,2
296,2024-05-22,3
297,2024-05-23,2
298,2024-05-24,2
299,2024-05-25,2
300,2024-05-26,2
301,2024-05-27,2
302,2024-05-28,3
303,2024-05-29,3
304,2024-05-30,2
305,2024-05-31,2
306,2024-06-01,3
307,2024-06-02,3
308,2024-06-03,2
309,2024-06-04,2
310,2024-06-05,2
311,2024-06-06,2
312,2024-06-07,2
313,2024-06-08,3
314,2024-06-09,2
315,2024-06-10,3
316,2024-06-11,2
317,2024-06-12,2
318,2024-06-13,2
319,2024-06-14,3
320,2024-06-15,3
321,2024-06-16,3
322,2024-06-17,2
323,2024-06-18,1
324,2024-06-19,2
325,2024-06-20,2
326,2024-06-21,2
327,2024-06-22,2
328,2024-06-23,2
329,2024-06-24,1
330,2024-06-25,2
331,2024-06-26,2
332,2024-06-27,2
333,2024-06-28,3
334,2024-06-29,2
335,2024-06-30,2
336,2024-07-01,2
337,2024-07-02,2
338,2024-07-03,2
339,2024-07-04,3
340,2024-07-05,3
341,2024-07-06,3
342,2024-07-07,2
343,2024-07-08,2
344,2024-07-09,2
345,2024-07-10,2
346,2024-07-11,2
347,2024-07-12,2
348,2024-07-13,3
349,2024-07-14,3
350,2024-07-15,2
351,2024-07-16,3
352,2024-07-17,2
353,2024-07-18,2
354,2024-07-19,2
355,2024-07-20,2
356,2024-07-21,2
357,2024-07-22,2
358,2024-07-23,2
359,2024-07-24,2
360,2024-07-25,2
361,2024-07-26,2
362,2024-07-27,2
363,2024-07-28,2
364,2024-07-29,2
365,2024-07-30,2
366,2024-07-31,2
367,2024-08-01,2
