,Time,Hoeveelheid regen per dag in mm
244,2024-03-31,9.7
245,2024-04-01,0.0
246,2024-04-02,1.4
247,2024-04-03,7.0
248,2024-04-04,12.0
249,2024-04-05,3.0
250,2024-04-06,0.0
251,2024-04-07,0.7
252,2024-04-08,1.0
253,2024-04-09,3.9
254,2024-04-10,0.6
255,2024-04-11,0.4
256,2024-04-12,0.0
257,2024-04-13,0.0
258,2024-04-14,0.0
259,2024-04-15,13.3
260,2024-04-16,9.4
261,2024-04-17,9.4
262,2024-04-18,2.5
263,2024-04-19,16.6
264,2024-04-20,2.1
265,2024-04-21,0.7
266,2024-04-22,0.5
267,2024-04-23,2.3
268,2024-04-24,3.7
269,2024-04-25,5.9
270,2024-04-26,1.4
271,2024-04-27,0.1
272,2024-04-28,0.2
273,2024-04-29,0.0
274,2024-04-30,0.1
275,2024-05-01,20.2
276,2024-05-02,15.0
277,2024-05-03,4.1
278,2024-05-04,9.0
279,2024-05-05,1.4
280,2024-05-06,0.0
281,2024-05-07,0.1
282,2024-05-08,0.0
283,2024-05-09,0.0
284,2024-05-10,0.0
285,2024-05-11,0.0
286,2024-05-12,0.0
287,2024-05-13,0.0
288,2024-05-14,1.6
289,2024-05-15,8.6
290,2024-05-16,0.3
291,2024-05-17,1.8
292,2024-05-18,0.1
293,2024-05-19,0.1
294,2024-05-20,2.0
295,2024-05-21,23.2
296,2024-05-22,2.9
297,2024-05-23,0.1
298,2024-05-24,6.8
299,2024-05-25,3.1
300,2024-05-26,6.9
301,2024-05-27,6.3
302,2024-05-28,10.5
303,2024-05-29,15.8
304,2024-05-30,0.1
305,2024-05-31,0.5
306,2024-06-01,4.4
307,2024-06-02,0.0
308,2024-06-03,0.0
309,2024-06-04,4.9
310,2024-06-05,1.2
311,2024-06-06,0.0
312,2024-06-07,0.1
313,2024-06-08,0.3
314,2024-06-09,0.1
315,2024-06-10,17.4
316,2024-06-11,3.5
317,2024-06-12,0.8
318,2024-06-13,0.0
319,2024-06-14,6.0
320,2024-06-15,2.8
321,2024-06-16,9.1
322,2024-06-17,0.0
323,2024-06-18,3.1
324,2024-06-19,0.0
325,2024-06-20,0.1
326,2024-06-21,1.0
327,2024-06-22,0.1
328,2024-06-23,0.0
329,2024-06-24,0.0
330,2024-06-25,0.0
331,2024-06-26,0.0
332,2024-06-27,0.0
333,2024-06-28,0.0
334,2024-06-29,0.9
335,2024-06-30,1.1
336,2024-07-01,0.1
337,2024-07-02,4.6
338,2024-07-03,8.0
339,2024-07-04,8.0
340,2024-07-05,0.6
341,2024-07-06,0.8
342,2024-07-07,1.6
343,2024-07-08,0.0
344,2024-07-09,13.1
345,2024-07-10,5.6
346,2024-07-11,0.0
347,2024-07-12,25.3
348,2024-07-13,2.9
349,2024-07-14,0.0
350,2024-07-15,2.4
351,2024-07-16,1.8
352,2024-07-17,0.0
353,2024-07-18,0.0
354,2024-07-19,0.1
355,2024-07-20,0.1
356,2024-07-21,6.0
357,2024-07-22,0.0
358,2024-07-23,1.6
359,2024-07-24,0.1
360,2024-07-25,1.7
361,2024-07-26,3.9
362,2024-07-27,0.0
363,2024-07-28,0.0
364,2024-07-29,0.0
365,2024-07-30,0.0
366,2024-07-31,0.0
367,2024-08-01,0.0
